tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-806,Toronto,Hard,96,1000,O,20260802,19,203501,,,Taylor Townsend,L,170,USA,30.294,110,748,238184,,,Tereza Valentova,R,168,CZE,19.447,67,1003,6-4 7-5,3,R128,111,3,3,89,50,34,17,11,9,12,1,4,66,39,24,12,11,2,7
2026-806,Toronto,Hard,96,1000,O,20260802,20,201585,,Q,Sloane Stephens,R,170,USA,33.369,286,255,221333,,,Solana Sierra,R,,ARG,22.125,86,867,6-3 6-4,3,R128,69,0,4,50,34,23,7,9,1,3,0,8,56,28,17,11,10,3,8
2026-806,Toronto,Hard,96,1000,O,20260802,21,202663,,,Magda Linette,R,171,POL,34.470,68,1001,203475,,WC,Carol Zhao,R,165,CAN,31.118,627,75,4-6 6-1 6-4,3,R128,121,3,2,81,50,36,16,14,4,7,0,10,87,52,32,15,13,7,12
2026-806,Toronto,Hard,96,1000,O,20260802,22,252499,,Q,Alina Korneeva,R,,RUS,19.110,89,849,221236,,Q,Polina Kudermetova,R,,RUS,23.162,103,778,6-0 3-0 RET,3,R128,36,1,0,23,17,11,5,4,0,0,0,4,27,13,3,4,5,3,8
2026-806,Toronto,Hard,96,1000,O,20260802,23,220309,,,Zeynep Sonmez,R,,TUR,24.257,52,1077,201606,,WC,Rebecca Marino,R,183,CAN,35.628,345,193,7-5 6-4,3,R128,97,5,5,80,51,36,14,11,5,6,10,7,70,39,28,13,11,5,8
2026-806,Toronto,Hard,96,1000,O,20260802,24,215037,,Q,Kayla Day,L,173,USA,26.845,131,591,220348,,,Diane Parry,R,170,FRA,23.918,64,1011,3-6 6-3 7-5,3,R128,148,6,4,85,58,34,18,15,3,8,5,4,88,48,30,18,15,3,9
2026-806,Toronto,Hard,96,1000,O,20260802,25,201662,,,Karolina Pliskova,R,184,CZE,34.366,66,1006,220716,,,Oleksandra Oliynykova,R,170,UKR,25.577,44,1171,6-4 6-4,3,R128,82,4,4,71,47,31,11,10,6,9,1,6,59,31,19,11,10,3,8
2026-806,Toronto,Hard,96,1000,O,20260802,26,213887,,,Renata Zarazua,R,,MEX,28.838,73,971,211337,,,Tamara Korpatsch,R,170,GER,31.225,47,1134,6-4 0-6 6-1,3,R128,125,0,3,65,46,28,6,11,3,8,3,3,78,53,29,11,12,5,11
2026-806,Toronto,Hard,96,1000,O,20260802,27,214388,,,Anna Bondar,R,,HUN,29.183,78,936,211843,,,Anhelina Kalinina,R,179,UKR,29.481,54,1072,6-4 7-5,3,R128,126,1,3,65,41,27,10,11,1,5,0,6,83,54,26,15,11,8,14
2026-806,Toronto,Hard,96,1000,O,20260802,28,215910,,,Panna Udvardy,R,170,HUN,27.844,76,953,220332,,,Eva Lys,R,165,GER,24.553,85,871,2-6 7-6(3) 2-0 RET,3,R128,112,3,0,77,43,28,19,11,3,6,5,6,88,59,36,15,11,5,7
